0x2787062,8FD0
0x2788FD0,16
0x2788FD7,0708
0x2788FE0,12
0x2788FE4,0101
0x2788FE8,10
0x2788FEC,FFFFFF
0x2788FF0,0A
0x2788FF4,03
0x2788FF7,3014
0x2789007,3C
0x278900B,44
0x278900F,F8
0x2789013,A0
0x278A80F,50
0x278A857,50
0x278A85F,C0
0x278A8A7,90
0x278A8AF,80
0x278A90E,7A18
0x278A947,D0
0x278A98F,D0
0x278A996,0500
0x278A9DE,0410
0x278A9E7,C0
0x278AA2F,50
0x278AA37,80
0x278AA7F,90
0x278AA87,40
0x278AACF,D0
0x278AAD6,0800
0x278AB26,8A18
0x278AB5F,90
0x278ABA7,90
0x278ABF6,3A18
0x278AC2F,50
0x278AC96,0B10
0x278ACE6,3218
0x278AD1F,90
0x278AD87,70
0x278ADB6,6218
0x278ADEF,B0
0x278AE2E,4218
0x278AE67,30
0x278AEAE,0E10
0x278AEB7,B0
0x278AEFF,50
0x278AF07,70
0x278AF4F,90
0x278AF56,1010
0x278AF96,9A18
0x278AFCF,70
0x278B017,70
0x278B01F,F0
0x278B067,B0
0x278B06F,B0
0x278B0B7,F0
0x278B0BF,70
0x278B107,30
0x278B10F,30
0x278B157,70
0x278B15F,F0
0x278B1A7,B0
0x278B1AF,B0
0x278B20E,AA18
0x278B247,70
0x278B95E,5218
0x278B9AF,90
0x278B9F7,90
0x278B9FE,2410
0x278BA47,D0
0x278BA4F,D0
0x278BABE,6218
0x278BAF7,90
0x278BB27,60
0x278BB2F,70
0x278BB67,D0
0x278BB6F,E0
0x278BBA6,2720
0x278BBAF,90
0x278BBDF,60
0x278BBE6,2920
0x278C03E,9A18
0x278C08F,30
0x278C0D7,30
0x278C0DF,F0
0x278C127,70
0x278C12F,B0
0x278C177,B0
0x278C17F,70
0x278C1CF,B0
0x278C1D7,50
0x278C1DF,30
0x2794A1B,30
0x2794A2B,AE
0x2794A7B,AE
0x2794A8B,30
0x2794D2F,B0
0x2794D7E,BA20
0x2794DE7,C0
0x2794DEE,BB00
0x2794DF7,80
0x2794DFE,BC10
0x2794E67,E0
0x2794E6F,40
0x2794E77,60
0x2794ECF,A0
0x2794ED7,B0
0x2794F3F,90
0x2794F46,BC00
0x2794F4F,A0
0x2794F57,D0
0x2794F76,BD20
