0x0B9CAE9,101015
0x22A205F,16
0x260E039,05
0x260E0A5,EFFC130118042C
0x260E0AE,80
0x260E0B2,021F
0x28F9031,10
0x28F9066,012C
0x28F907A,012B
0x28F932B,FF
0x2962C95,07E1
0x2969031,0C
0x296906F,07
0x29690F1,07
0x296C031,0C
0x296C06F,07
0x296C151,07
0x2975031,0C
0x297506F,07
0x2975151,07
0x297A031,0C
0x297A06F,07
0x297A191,07
0x2980031,0C
0x298006F,07
0x29800F1,07
0x2983031,0C
0x298306F,07
0x2983121,07
0x298A031,0C
0x298A06F,07
0x298A141,07
0x298E031,0C
0x298E06F,07
0x298E131,07
0x2991031,0C
0x299106F,07
0x2991161,07
0x2994031,0C
0x299406F,07
0x29940F1,07
0x29B2739,08
0x29B275F,68
0x2A4E0CB,3F
0x2CFD031,06
0x2CFD0A9,1901D5
0x2CFD0AE,0320
0x2CFD0B2,40
0x2CE0130,0014FCAC055F095C
0x2CE013A,4111
0x2CE013D,000FFF
0x2D8E031,09
0x2D8E0C5,14FD62
0x2D8E0CA,0248
0x2D8E0CE,5555
0x2D8E0D2,0FFF
0x2DB9031,02
0x2DB9055,14FF68
0x2DB905A,0BF4
0x2DB905E,80
0x2DB9062,0FFF
0x346C12D,7F
0x346C1AD,7F
